Name,Location,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,offers_dining,avg_din_rate
Metro Cafe,Mansarovar,Quick Bites ,Fast Food,400,yes,no,yes,3.2
Mewar Restaurant,Sindhi Camp,Quick Bites ,"North Indian, South Indian, Chinese, Beverages",500,yes,no,yes,3.6
Mickey Mouse Cafe,Jhotwara,Quick Bites ,Fast Food,400,yes,no,yes,3.2
Midnight Vegas,Malviya Nagar,"Casual Dining, Bar ","North Indian, Continental, Chinese, Italian","1,150",no,yes,yes,4.7
Midtown Restaurant,C Scheme,Casual Dining ,"North Indian, Chinese, Fast Food",750,yes,no,yes,4.0
Milan Blue Flame -MBF,Vidhyadhar Nagar,Quick Bites ,"North Indian, Rolls, Fast Food, Chinese, Mughlai, Momos, Beverages",600,no,no,yes,3.4
Mini Punjab Baba Da Dhaba,Vaishali Nagar,Quick Bites ,"North Indian, South Indian, Chinese",350,yes,no,yes,4.2
Mini Punjabi,Sodala,Quick Bites ,North Indian,300,no,no,yes,3.6
Misrii,C Scheme,Quick Bites ,"North Indian, Rajasthani, Salad, Street Food, Desserts",300,no,no,yes,3.3
Miss Baker's,C Scheme,Bakery ,"Bakery, Desserts",150,no,no,yes,4.2
Mitra Da Dhaba,Malviya Nagar,Quick Bites ,North Indian,400,no,no,yes,3.6
Mix Tape Bistro,C Scheme,"CAFÉ, Casual Dining ","Cafe, North Indian, Mexican, Fast Food",800,yes,no,yes,3.8
Modern Dhaba,Jagatpura,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",200,no,no,yes,3.7
Mohan Dhaba,Adarsh Nagar,Quick Bites ,North Indian,300,yes,no,yes,4.3
Mohan Juice Center,Jawahar Nagar,Beverage Shop ,"Beverages, Fast Food, South Indian",200,no,no,yes,3.3
Mohan Restaurant,Sindhi Camp,Casual Dining ,"North Indian, South Indian, Fast Food, Desserts",400,yes,no,yes,3.8
Mohan To Dhaba,Pratap Nagar,Quick Bites ,North Indian,300,yes,no,yes,3.9
Mohan To Dhaba And Fast Food,Pratap Nagar,Quick Bites ,North Indian,300,yes,no,yes,3.0
Mohan's Vegetarian Restaurant,C Scheme,Casual Dining ,"North Indian, Fast Food",350,yes,no,yes,3.7
Mohar Durg,Tonk Road,Quick Bites ,"North Indian, South Indian, Fast Food, Chinese, Street Food",400,no,no,yes,3.6
Molly Moo,C Scheme,Dessert Parlor ,"Desserts, Ice Cream",300,yes,no,yes,4.6
Molly Moo,Vaishali Nagar,Dessert Parlor ,"Desserts, Ice Cream",300,yes,no,yes,4.1
Molly Moo,Mansarovar,Dessert Parlor ,"Desserts, Ice Cream",300,yes,no,yes,3.6
Momos And More,Raja Park,Quick Bites ,"Momos, Chinese, Fast Food",300,yes,no,yes,4.0
Monarch Restaurant - Holiday Inn Jaipur City Centre,Bais Godam,Fine Dining ,"North Indian, Chinese, Continental, Rajasthani","1,900",no,yes,yes,4.5
Monkey Momo's - By Bubble Rush,Malviya Nagar,Quick Bites ,"Cafe, Momos, Bubble Tea, Chinese, Beverages",600,yes,no,yes,4.1
Moonight Cafe & Lounge,Mansarovar,"CAFÉ, Casual Dining ","Cafe, North Indian, Fast Food, Chinese, Street Food",500,no,no,yes,3.7
Moreish Cafe,Pratap Nagar,Quick Bites ,"North Indian, Fast Food, Chinese, Beverages",300,yes,no,yes,3.5
Mosaic,Khatipura Road,Casual Dining ,"North Indian, Chinese",800,no,no,yes,2.8
Motherson Pizza,Pratap Nagar,Quick Bites ,Italian,350,yes,no,yes,2.8
Moti Mahal Restaurant,MI Road,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,3.0
Mr. Been Cafe,Jagatpura,Quick Bites ,"Fast Food, Chinese",550,no,no,yes,3.2
Mr. Foodie,Jhotwara,Quick Bites ,"Kebab, BBQ, Burger",500,no,no,yes,2.9
Mr. Healthy,Vaishali Nagar,Quick Bites ,"Healthy Food, Fast Food, Beverages",500,yes,no,yes,3.8
Mr. Hubway,Shyam Nagar,Quick Bites ,"Fast Food, Healthy Food, Salad, Sandwich",400,no,no,yes,3.8
Mr. Meals,Pratap Nagar,Quick Bites ,"Chinese, Fast Food",350,yes,no,yes,3.5
Mr.Chef 1947,Sodala,Quick Bites ,"Fast Food, Pizza",250,yes,no,yes,3.7
Mugal Restaurant,Khatipura Road,Quick Bites ,North Indian,150,no,no,yes,3.5
Mughal Darbar,Adarsh Nagar,Quick Bites ,"Mughlai, North Indian",500,no,no,yes,3.8
Mughal Hotel,Hasanpura,Dhaba ,"North Indian, Mughlai",450,no,no,yes,4.0
Muhammadi Olive Restaurant,Khatipura Road,Casual Dining ,"North Indian, Mughlai",600,no,no,yes,3.2
Muhammadi Palace,Sindhi Camp,Casual Dining ,"North Indian, Mughlai",750,no,no,yes,4.0
Muhammadi Palace,Sindhi Camp,Quick Bites ,"North Indian, Mughlai",500,no,no,yes,4.1
Muhammadis Of Jaipur,Shyam Nagar,Quick Bites ,North Indian,600,no,no,yes,3.6
Mummy's Kitchen,Bais Godam,Food Court ,"North Indian, Street Food",350,yes,no,yes,2.8
Mum's Cafe,C Scheme,CAFÉ ,"Cafe, Italian, Continental",750,no,no,yes,3.9
Munchbox 251,Bani Park,Casual Dining ,"North Indian, Chinese",400,yes,no,yes,3.8
Munchies Pizza,Sikar Road,Quick Bites ,"Pizza, Fast Food",350,no,no,yes,4.1
Murli Green Multicuisine Restaurant,Khatipura Road,Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",800,yes,no,yes,3.2
Murthal Paratha,Malviya Nagar,Quick Bites ,"North Indian, Rolls, Fast Food, Beverages",200,no,no,yes,3.4
Muttchik,Sodala,Quick Bites ,North Indian,300,no,no,yes,3.1
My Bhukkad Cafe,Jagatpura,Quick Bites ,"Fast Food, Chinese",400,yes,no,yes,3.3
My Cafe,Sikar Road,CAFÉ ,"Cafe, Fast Food",500,no,no,yes,3.5
My Chef,Bani Park,Casual Dining ,"North Indian, Chinese, Continental",900,yes,no,yes,3.5
My Village,Mansarovar,Casual Dining ,"North Indian, Chinese, Beverages",750,yes,no,yes,3.9
My Way Cafe,Tonk Road,Quick Bites ,"Fast Food, Beverages",250,yes,no,yes,3.2
MZ Restaurant,Malviya Nagar,Quick Bites ,North Indian,500,no,no,yes,3.9
NA2,Chitrakoot,Quick Bites ,"North Indian, Fast Food, Chinese, Desserts, Beverages",500,yes,no,yes,3.9
Namo Tandoori Chulha Chai Pakode Wala,Raja Park,Quick Bites ,"Fast Food, Beverages",450,yes,no,yes,3.9
Nanking Express,Malviya Nagar,Food Court ,Chinese,500,no,no,yes,3.5
Narayan Restaurant,Jhotwara,Quick Bites ,North Indian,450,yes,no,yes,3.8
Narula's,Raja Park,Quick Bites ,"Chinese, North Indian, Fast Food",500,yes,no,yes,3.1
National Chicken Take Away,Sikar Road,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,3.8
Natkhat Bakers & Catters,Vaishali Nagar,"Bakery, Quick Bites ","Bakery, Mithai, Street Food, Fast Food",200,yes,no,yes,3.4
Natural Ice Cream,C Scheme,Dessert Parlor ,Ice Cream,150,yes,no,yes,4.8
Nature Valley Cafe & Restaurant,Chitrakoot,Casual Dining ,"Fast Food, North Indian, Chinese",500,yes,no,yes,3.6
Naya Zaika,Mansarovar,Quick Bites ,"North Indian, Biryani",550,no,no,yes,3.5
Neelam Dhaba,MI Road,Quick Bites ,North Indian,350,yes,no,yes,3.9
New Bakers Pride,Bani Park,Quick Bites ,"Fast Food, Chinese, Street Food, Rolls, Sandwich, Beverages",400,yes,no,yes,3.4
New Chatkara Fast Food,Chitrakoot,Quick Bites ,"Fast Food, Chinese, South Indian",250,yes,no,yes,2.9
New Chawla,Malviya Nagar,Quick Bites ,North Indian,600,no,no,yes,3.1
New Ganesh Pavitra Bhojnalaya,Lal Kothi,Quick Bites ,North Indian,100,yes,no,yes,3.7
New Mahaveer Rabdi Bhandar,Tonk Road,Sweet Shop ,"Mithai, North Indian",300,yes,no,yes,3.4
New Sher E Punjab Dhaba,Sodala,Quick Bites ,North Indian,400,no,no,yes,3.5
New York Slice,C Scheme,Quick Bites ,"Pizza, Fast Food, Beverages",600,no,no,yes,4.1
NH Ate,Ajmer Highway,Casual Dining ,"North Indian, Chinese, Fast Food, Italian",800,yes,no,yes,3.6
Nibbles Kitchen & Takeaway,Shyam Nagar,Quick Bites ,"North Indian, Rajasthani",500,no,no,yes,4.0
Nibs Cafe and Chocolataria,Bais Godam,"CAFÉ, Dessert Parlor ","Cafe, Continental, Mexican, Italian, Desserts, Beverages",900,no,no,yes,4.4
Nibs Cakes And Bakes,Bais Godam,Bakery ,"Bakery, Desserts",300,no,no,yes,3.3
Nibs Experia,C Scheme,CAFÉ ,"Cafe, Italian, Continental",750,no,no,yes,4.5
Niros,MI Road,Casual Dining ,"North Indian, Chinese, Continental, Mughlai","2,200",no,no,yes,4.2
Nizam's,MI Road,Quick Bites ,"Mughlai, North Indian, Rolls",450,no,no,yes,3.5
Non Veg King,Pratap Nagar,Quick Bites ,North Indian,450,no,no,yes,3.3
Non Veg Point,Mansarovar,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,3.9
Non-Veg King,Sikar Road,Quick Bites ,North Indian,300,no,no,yes,3.0
Noor-E-Elahi Restaurant,Sindhi Camp,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,3.9
North West Corner,Chitrakoot,Casual Dining ,North Indian,750,yes,no,yes,4.3
Nothing Before Coffee,C Scheme,Beverage Shop ,"Cafe, Fast Food",400,yes,no,yes,4.1
Nothing Before Coffee,Durgapura,CAFÉ ,"Cafe, Fast Food",400,yes,no,yes,4.4
Nothing Before Coffee,Bani Park,CAFÉ ,"Cafe, Fast Food",400,yes,no,yes,3.7
Nothing Before Coffee,Vaishali Nagar,CAFÉ ,"Cafe, Fast Food",400,yes,no,yes,3.8
NR Ice Cream Parlour & Restaurant,Bapu Nagar,"Quick Bites, Dessert Parlor ","Fast Food, Chinese, Ice Cream",300,yes,no,yes,2.9
Nukkad Wala Fast Food,Shastri Nagar,Quick Bites ,"Fast Food, South Indian, Pizza, Street Food, Chinese, Momos, North Indian",200,yes,no,yes,3.7
Nutridiet,Vaishali Nagar,Quick Bites ,Healthy Food,350,no,no,yes,3.5
Office-R,Mansarovar,Quick Bites ,North Indian,300,yes,no,yes,3.3
Old Green Tandoori Dhaba,MI Road,Quick Bites ,North Indian,600,no,no,yes,3.4
Old Take Away - The Kabab Shop,MI Road,Quick Bites ,"North Indian, Mughlai, Rolls",600,no,no,yes,4.3
Old Take Away Veg & Non Veg Restaurant,Jhotwara,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,4.0
Olive,C Scheme,Casual Dining ,"Italian, Mexican, North Indian","1,000",yes,no,yes,3.7
Olympia,Lal Kothi,Casual Dining ,North Indian,300,yes,no,yes,3.7
Om Bakers And Fast Food,Mansarovar,"Bakery, Quick Bites ","Bakery, Fast Food, Beverages",200,yes,no,yes,3.1
Om Harishanker Pavitra Bhoajnaliya,Gopalpura,Quick Bites ,North Indian,300,yes,no,yes,2.9
Om Misthan Bhandar,Tonk Phatak,"Sweet Shop, Bakery ","Mithai, Bakery",250,yes,no,yes,3.7
Om Pavitra Bhojnalaya & Restaurant,Vaishali Nagar,Quick Bites ,North Indian,300,no,no,yes,3.6
Om Sai Dosa Junction,Chitrakoot,Quick Bites ,South Indian,250,yes,no,yes,3.7
On The House,C Scheme,"Casual Dining, CAFÉ ","Italian, Continental, Mexican, Cafe","1,500",no,no,yes,4.6
On The Way,Vaishali Nagar,Quick Bites ,North Indian,350,no,no,yes,2.9
OTB - On The Bar B-Q,Malviya Nagar,Casual Dining ,"Italian, Chinese, North Indian, Fast Food, Beverages","1,200",no,yes,yes,4.3
Oven The Bakery - An Authentic Italian Cafe,Malviya Nagar,"CAFÉ, Bakery ","Cafe, Bakery, Continental, Italian",850,no,no,yes,3.9
Oven The Bakery And Cafe,Ajmer Highway,"CAFÉ, Bakery ","Cafe, Continental, Fast Food, Italian, Street Food, Wraps, Salad, Beverages",800,no,no,yes,3.8
Pakwaan,Shastri Nagar,Casual Dining ,"North Indian, Mughlai, Desserts, Beverages",700,no,no,yes,4.3
Pakwan,Gopalpura,Quick Bites ,"North Indian, Fast Food",200,no,no,yes,3.4
Pali's Pure Veg Dhaba,Raja Park,Casual Dining ,"North Indian, Fast Food, Chinese, Rajasthani, Beverages",500,yes,no,yes,4.2
Palki Restaurant,Lal Kothi,Casual Dining ,"South Indian, Chinese, Fast Food, North Indian",700,yes,no,yes,2.9
Pan N Grill Cafe,C Scheme,Quick Bites ,"Fast Food, Street Food, Sandwich, Beverages",200,yes,no,yes,3.7
Pandit Ji Ki Famous Pav Bhaji And Bhelpuri,C Scheme,Quick Bites ,Fast Food,200,yes,no,yes,3.7
Pandit Juice Centre,C Scheme,"Beverage Shop, Quick Bites ","Beverages, South Indian",200,yes,no,yes,3.1
Pandit Pav Bhaji,C Scheme,Quick Bites ,"Street Food, Fast Food, North Indian",250,yes,no,yes,3.4
Pandit Pav Bhaji,Mansarovar,Quick Bites ,"Street Food, Fast Food",150,yes,no,yes,3.6
Pandit Pavbhaji,C Scheme,Quick Bites ,"South Indian, Chinese, Fast Food, Street Food",200,yes,no,yes,2.9
Papaya,C Scheme,Quick Bites ,"Fast Food, Beverages",200,yes,no,yes,3.8
Pappu Restaurant,Amer Road,Quick Bites ,Fast Food,150,yes,no,yes,3.4
Parantha Shop,Pink City,Quick Bites ,"North Indian, Sandwich",250,yes,no,yes,3.8
Paratha Dot Com,Mansarovar,Quick Bites ,North Indian,200,yes,no,yes,3.7
Paratha Gali,Vidhyadhar Nagar,Quick Bites ,"North Indian, Rolls, Beverages",500,no,no,yes,3.4
Paratha Waala's,Mansarovar,Quick Bites ,"North Indian, Fast Food, Beverages",300,yes,no,yes,3.0
Paratha Wala & Restaurant,Pratap Nagar,Quick Bites ,"North Indian, Fast Food, Beverages",300,yes,no,yes,3.0
Pareek Gk Parathe,Pratap Nagar,Quick Bites ,North Indian,150,no,no,yes,3.6
Pari Veg Restaurant,Pratap Nagar,Casual Dining ,North Indian,600,yes,no,yes,3.0
Party Lovers Restaurant,Malviya Nagar,Casual Dining ,"Chinese, North Indian, Fast Food",450,yes,no,yes,3.8
Pasta Cucina,C Scheme,Quick Bites ,"Italian, Fast Food, Beverages",500,yes,no,yes,3.9
Patiala Bites,Mansarovar,Quick Bites ,North Indian,350,no,no,yes,3.3
Paushtik Pure Veg Restaurant,Mansarovar,Quick Bites ,"North Indian, Chinese, Fast Food",450,yes,no,yes,3.7
Pawana Rajasthani Vyanjan,Adarsh Nagar,Food Court ,Rajasthani,200,yes,no,yes,3.5
Perfect Ohh,Jagatpura,Casual Dining ,"Fast Food, Chinese, North Indian",700,yes,no,yes,3.8
Perk Street,Durgapura,Quick Bites ,"South Indian, Italian, Street Food",200,yes,no,yes,3.8
Pet Pooja,Pratap Nagar,Quick Bites ,North Indian,150,yes,no,yes,3.6
Pet Puja,Mansarovar,Quick Bites ,North Indian,300,yes,no,yes,3.5
Phineas and Ferb Food Hub,Malviya Nagar,Quick Bites ,"Chinese, South Indian, Fast Food",300,yes,no,yes,3.0
Pind Punjabi Restaurant,Raja Park,Casual Dining ,"North Indian, Chinese, Mughlai, South Indian",800,no,no,yes,3.6
Pink City Kings,Amer Road,Casual Dining ,North Indian,250,no,no,yes,2.5
Pink City Palace,Pratap Nagar,Quick Bites ,"North Indian, Fast Food",500,yes,no,yes,3.2
Pink City Pizza Parlour,Vidhyadhar Nagar,Quick Bites ,"Fast Food, Chinese, Pizza",400,yes,no,yes,3.4
Pink Turban,Raja Park,Casual Dining ,"North Indian, Italian, Chinese, Fast Food",900,yes,no,yes,4.0
Pinkcity Juice & Coffee,Mansarovar,Beverage Shop ,"Beverages, Fast Food",150,no,no,yes,2.9
Pinkcity Kanha Garden Restaurant,Khatipura Road,Quick Bites ,North Indian,300,yes,no,yes,2.7
Pinkcity Restaurant,Sindhi Camp,Quick Bites ,"North Indian, Fast Food, Beverages",500,yes,no,yes,3.0
Pint Pat,Malviya Nagar,Lounge ,"North Indian, Italian, Continental","1,400",no,no,yes,4.2
Pizza And Burger Nation,Vaishali Nagar,Quick Bites ,"Pizza, Burger, Fast Food, Beverages",350,no,no,yes,3.7
Pizza Box,Vidhyadhar Nagar,Quick Bites ,"Pizza, Sandwich, Fast Food, Beverages",500,yes,no,yes,3.3
Pizza Century,Sanganer,Quick Bites ,"Pizza, Fast Food, Beverages",450,yes,no,yes,3.5
Pizza City,Malviya Nagar,Casual Dining ,"Pizza, Italian",600,yes,no,yes,2.1
Pizza Dayz,Jhotwara,Quick Bites ,"Pizza, Fast Food",400,yes,no,yes,3.3
Pizza Dayz,Jhotwara,Quick Bites ,"Pizza, Rolls, Burger",300,no,no,yes,3.3
Pizza Factory,Mansarovar,Quick Bites ,"Pizza, Fast Food",400,no,no,yes,2.7
Pizza Fort,Sanganer,Quick Bites ,"Pizza, Fast Food",450,yes,no,yes,3.0
Pizza Fort,Sanganer,Quick Bites ,"Pizza, Fast Food",500,yes,no,yes,2.9
Pizza Guys,Jhotwara,Quick Bites ,"Pizza, Fast Food",250,no,no,yes,3.7
Pizza Hut,MI Road,Casual Dining ,"Pizza, Fast Food, Finger Food, American",600,no,no,yes,3.8
Pizza Hut,Malviya Nagar,Casual Dining ,"Pizza, Fast Food, Finger Food, American",600,no,no,yes,3.9
Pizza Hut,Raja Park,Quick Bites ,"Pizza, Fast Food, Finger Food, American",600,no,no,yes,3.8
Pizza Hut,Vaishali Nagar,Casual Dining ,"Pizza, Fast Food, Finger Food, American",600,no,no,yes,3.9
Pizza Hut,Bais Godam,Casual Dining ,"Pizza, Fast Food, Finger Food, American",600,no,no,yes,3.9
Pizza Hut,Malviya Nagar,Food Court ,"Pizza, Fast Food, Finger Food, American",600,no,no,yes,3.7
Pizza Lab,Shyam Nagar,Quick Bites ,"Pizza, Fast Food",500,yes,no,yes,4.1
Pizza Master,Sikar Road,Quick Bites ,"Pizza, Fast Food, Beverages",550,yes,no,yes,3.3
Pizza Mr. Bean's,Malviya Nagar,Casual Dining ,"Pizza, Fast Food",450,yes,no,yes,3.8
Pizza 'n' More,Pratap Nagar,Quick Bites ,"Fast Food, Pizza",450,yes,no,yes,3.6
Pizza Square,Tonk Phatak,Quick Bites ,"Pizza, Fast Food",250,yes,no,yes,3.8
Pizza Square,Vidhyadhar Nagar,Quick Bites ,"Pizza, Fast Food",250,yes,no,yes,3.6
Pizza Square,Khatipura Road,Quick Bites ,"Pizza, Fast Food",250,yes,no,yes,3.4
Pizza World,Malviya Nagar,Quick Bites ,"Pizza, Fast Food, Chinese",500,yes,no,yes,2.3
Pizza World,Vaishali Nagar,Quick Bites ,"Pizza, Fast Food",500,yes,no,yes,3.8
Pizza World,Raja Park,Quick Bites ,"Pizza, Chinese, Fast Food",600,yes,no,yes,3.8
Pizza World,Jhotwara,Quick Bites ,"Pizza, Fast Food",400,yes,no,yes,3.6
Pizzburg,Bani Park,Quick Bites ,Pizza,400,no,no,yes,3.5
Pizzitalia,C Scheme,Quick Bites ,"Fast Food, Pizza, Beverages",500,yes,no,yes,3.0
Potlee,Jagatpura,Quick Bites ,"North Indian, Chinese, Fast Food, Kebab",450,no,no,yes,3.7
Praaji Veg & Non Veg Restaurant,Sitapur,Quick Bites ,"North Indian, Fast Food",350,no,no,yes,3.2
Pradhan Cafe,Jagatpura,Quick Bites ,"North Indian, Fast Food",300,yes,no,yes,3.5
Prasadam,Shyam Nagar,Casual Dining ,"North Indian, Chinese, Fast Food",300,yes,no,yes,4.0
Prem Punjabi Rasoi,Malviya Nagar,Dhaba ,North Indian,250,yes,no,yes,3.7
PUBG - Player Unknown's Belly Grounds,Shyam Nagar,CAFÉ ,"Cafe, Fast Food, North Indian",500,no,no,yes,3.6
Publicity,Mansarovar,Lounge ,"North Indian, Chinese, Fast Food","1,000",no,yes,yes,3.6
Punjab Da Puttar,Durgapura,Casual Dining ,"Mexican, Italian, North Indian, Chinese","1,000",no,no,yes,4.1
Punjabi Amritsari Kulche Wale,Raja Park,Quick Bites ,North Indian,300,yes,no,yes,3.6
Punjabi Chaap Corner,Mansarovar,Quick Bites ,"North Indian, Momos, Rolls",250,yes,no,yes,3.8
Punjabi Chaska,Gopalpura,Quick Bites ,"North Indian, Fast Food, Chinese",350,yes,no,yes,3.9
Punjabi Dhaba,Jhotwara,Quick Bites ,North Indian,200,yes,no,yes,3.6
Punjabi Dhaba By MMPD,Shyam Nagar,Casual Dining ,"North Indian, Chinese",600,yes,no,yes,4.1
Punjabi Foods,Jagatpura,Quick Bites ,"North Indian, South Indian, Chinese, Fast Food",300,yes,no,yes,3.1
Punjabi Grill,Mansarovar,Casual Dining ,"North Indian, Chinese",700,no,no,yes,4.0
Punjabi Rasoi,Khatipura Road,Quick Bites ,"North Indian, Healthy Food",400,no,no,yes,3.4
Punjabi Swad Pure Veg Restaurant,Vaishali Nagar,Quick Bites ,"Fast Food, North Indian",350,yes,no,yes,3.0
Punjabi Tadka,Shyam Nagar,Quick Bites ,North Indian,400,yes,no,yes,3.7
Punjabi Tadka,Malviya Nagar,Quick Bites ,North Indian,400,yes,no,yes,3.7
Punjabi Tadka Dhaba,Jawahar Nagar,Casual Dining ,"North Indian, Fast Food",500,yes,no,yes,3.7
Punjabi Tadka Tandoori Dhaba,Malviya Nagar,Dhaba ,North Indian,400,no,no,yes,3.2
Pure Masala Zone,Jhotwara,Quick Bites ,"North Indian, Chinese",600,no,no,yes,3.5
Pure Rajputana Non Veg,Jhotwara,Quick Bites ,North Indian,450,no,no,yes,3.3
Quyu's Cafe,Vaishali Nagar,"CAFÉ, Casual Dining ","Cafe, Italian, Continental, Desserts, Beverages",750,yes,no,yes,4.4
R 18,Lal Kothi,Casual Dining ,"North Indian, Chinese, Mexican, Italian",700,no,no,yes,3.9
Raavu's Bite,Sodala,Quick Bites ,"Fast Food, Chinese, North Indian",400,yes,no,yes,3.1
Radha Gopi Pavitra Bhojanalaya,Jawahar Nagar,Bhojanalya ,North Indian,500,yes,no,yes,3.5
Radha Govind Bhojanalaya,Gopalbari,Bhojanalya ,North Indian,350,yes,no,yes,3.1
Radhey Shyam Coffee Corner,Sodala,Quick Bites ,"Fast Food, Coffee",300,yes,no,yes,3.7
Rainbow,Amer Road,Casual Dining ,"North Indian, South Indian, Chinese, Fast Food","1,100",no,no,yes,3.1
Raj Style Inn,Mansarovar,Casual Dining ,North Indian,400,yes,no,yes,2.9
Rajasthani Chatkara,Malviya Nagar,Quick Bites ,"Rajasthani, North Indian, Chinese",300,no,no,yes,3.5
Rajasthani Chatkara Resturant,Malviya Nagar,Quick Bites ,"North Indian, Chinese, Rajasthani, Fast Food",200,yes,no,yes,3.7
Rajasthani Dhaba,Jhotwara,Quick Bites ,North Indian,250,yes,no,yes,3.2
Rajasthani Tadka,Malviya Nagar,Kiosk ,"North Indian, Chinese",300,yes,no,yes,3.4
Rajasthani Tadka Pure Veg Restaurant,Mansarovar,Quick Bites ,North Indian,200,yes,no,yes,2.7
Rajasthani Thali Restaurant,Bani Park,Casual Dining ,Rajasthani,550,yes,no,yes,2.7
Rajmahal Restaurant,Sindhi Camp,Casual Dining ,North Indian,400,yes,no,yes,3.7
Rajputana Foods,Mansarovar,Quick Bites ,North Indian,500,no,no,yes,2.9
Rajwada CAFÉ & Multi-Cuisine Restro,Jagatpura,Casual Dining ,"North Indian, Fast Food, Biryani",700,no,no,yes,3.6
Rajwada Rasoi,Mansarovar,Quick Bites ,North Indian,300,no,no,yes,3.3
Rajwada Restaurant,Agra Road,Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",600,no,no,yes,3.3
Ram Rasoi Dhaba,Tonk Phatak,Dhaba ,North Indian,400,yes,no,yes,3.7
Rama Kishana Kalkatti Chat,Adarsh Nagar,Quick Bites ,Street Food,200,yes,no,yes,3.6
Rama Veg Thali,Lal Kothi,Quick Bites ,"Rajasthani, Fast Food",350,yes,no,yes,3.9
Ramaa Sweets & Multicuisine Restaurant,Sodala,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food",500,yes,no,yes,3.7
Ramchandra Dosa Vale,Tonk Phatak,Quick Bites ,South Indian,200,yes,no,yes,3.6
Rasoda,C Scheme,Quick Bites ,North Indian,300,no,no,yes,3.8
Rasoi Restaurant,Vidhyadhar Nagar,Quick Bites ,North Indian,250,yes,no,yes,4.2
Rasraj,Gopalpura,Quick Bites ,"North Indian, Rajasthani",400,no,no,yes,3.6
Rawat Mishthan Bhandar,Sindhi Camp,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food",600,yes,no,yes,4.3
Red Chilli Food Court,Gopalpura,Quick Bites ,North Indian,300,no,no,yes,3.6
Red Chilli Restaurant,Sikar Road,Quick Bites ,North Indian,250,yes,no,yes,3.3
Red Curry & Kabab,Sikar Road,Quick Bites ,North Indian,450,no,no,yes,3.9
Restro NH 11,Mansarovar,Casual Dining ,"South Indian, North Indian, Chinese",800,yes,no,yes,4.1
Restro RJ 05,Mansarovar,Casual Dining ,North Indian,250,no,no,yes,3.7
Restro RJ 23,Mansarovar,Casual Dining ,"North Indian, Fast Food, Beverages",500,yes,no,yes,3.9
Richie Rich Cafe & Restaurant,Vaishali Nagar,Quick Bites ,"North Indian, Chinese, Fast Food",450,no,no,yes,2.9
Riddhi Juice Bar & Ice Cream Parlour,Durgapura,"Beverage Shop, Dessert Parlor ","Beverages, Juices, Desserts",200,yes,no,yes,4.3
RJ 14,Ajmer Highway,Casual Dining ,"North Indian, South Indian","1,000",yes,no,yes,4.4
RJ 18 Dhaba,Sikar Road,Dhaba ,North Indian,300,yes,no,yes,3.7
RJ45 The Chicken Company,Gopalbari,Casual Dining ,"North Indian, Fast Food, Chinese, Beverages",700,no,no,yes,2.5
Roasted And Kebabs,Sikar Road,Quick Bites ,"Chinese, North Indian, Biryani",700,no,no,yes,3.5
Robin Hood Da Dhaba,Chitrakoot,Dhaba ,"North Indian, Chinese, Fast Food, Beverages",350,yes,no,yes,3.6
Rock N Rolls,Mansarovar,Quick Bites ,Rolls,250,no,no,yes,3.8
Roll Express,Jhotwara,Quick Bites ,Rolls,350,no,no,yes,3.7
Roll Express,Shyam Nagar,Quick Bites ,Rolls,300,no,no,yes,3.4
Roll Express,Jagatpura,Quick Bites ,Rolls,200,no,no,yes,3.2
Rombri's,Vidhyadhar Nagar,CAFÉ ,"Cafe, Italian, Mexican, Chinese",500,yes,no,yes,3.5
Rominus Pizza & Burger,Raja Park,Quick Bites ,"Pizza, Fast Food",600,no,no,yes,3.4
Rominus Pizza And Burger,Chitrakoot,Quick Bites ,"Pizza, Fast Food",500,no,no,yes,3.6
Rominus Pizza And Burger,Vidhyadhar Nagar,Quick Bites ,"Pizza, Burger, Fast Food",600,no,no,yes,3.9
Rominus Pizza and Burger,Gopalpura,Quick Bites ,"Pizza, Fast Food",600,no,no,yes,3.8
Rominus Pizza And Burger,Vaishali Nagar,Quick Bites ,"Pizza, Burger, Fast Food",600,no,no,yes,3.3
Ronak Restaurant,Ajmer Highway,Quick Bites ,North Indian,300,yes,no,yes,3.4
Roop Basant Pavitra Bhojnalaya,Gopalbari,Quick Bites ,"North Indian, South Indian",400,yes,no,yes,3.6
Roshan Da Dhaba,Sikar Road,Dhaba ,North Indian,500,no,no,yes,3.1
Roshan Pure Veg Take Away Dhaba,Raja Park,Casual Dining ,"North Indian, Chinese",500,no,yes,yes,3.4
Roshni Art Of Cake & Dessert,Sodala,Bakery ,Bakery,300,no,no,yes,3.0
Roti - The Indian Food,Sindhi Camp,Quick Bites ,North Indian,300,yes,no,yes,3.2
